news_index,type,sentence,score,argument1,argument12
3,affectedBy,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.533644,Mr,wrote
3,authorOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.920245,his,book
3,agentOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.993358,He,said
3,agentOf,there and the sign was still there Mr Wong recalled in Tyrus  After the Japanese attack on Pearl Harbor in December 1941 Mr Wong like many   took to wearing a lapel button proclaiming his heritage lest an angry American beat him up on the street The war permanently dispersed the fledgling Oriental Artists Group Mr Wongs friend Mr Okubo was sent with tens of thousands of other   to an internment camp If World War II hadnt happened when it did I think these artists even the   artists would have more of a name than they do today Ms See said And thats because this little movement that had just barely started was split apart by the war  Mr Wong who became a United States citizen in 1946 also designed Christmas cards for Hallmark and painted elegant   designs on dinnerware now sought after by collectors A longtime resident of Sunland Calif he,0.779724,Wong,recalled
3,agentOf,to the Museum of Chinese in America in Lower Manhattan Mr Wongs death at his home in Sunland was confirmed by the filmmaker Ms Tom His survivors include three daughters Kay Fong   Wong and Kim Wong and two grandchildren When his daughters were small Mr Wong encouraged them to make art as his father had encouraged him Yet he would not let them have coloring books The reason was simple He did not want his children constrained he said by lines laid down by others,0.97288,he,said
3,agentOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.992556,Canemaker,explained
3,partOfMany,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.568682,person,they
3,agentOf,the finished film     lent a brooding quality by its stark landscapes misty desaturated palette and figures often seen in silhouette     his influence is unmistakable But in 1941 in the wake of a bitter employees strike that year Disney fired Mr Wong Though he had chosen not to strike     he felt the studio had been good to him Mr Canemaker said     he was let go amid the lingering climate of   resentments On Bambi Mr Wongs name appears quite far down in the credits as a mere background artist Mr Wong joined Warner Brothers in 1942 working there     and lent out on occasion to other studios     until his retirement in 1968 The indignities he endured were not confined to the studios Trying to buy a house he and his wife the former Ruth Kim were told that each property they inquired about had just been sold Then in a month youd go back,0.650758,employees,strike
4,hasAttribute,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016     consider Muhammad Ali and Arnold Palmer in sports and the      Hollywood deaths of Carrie Fisher and Debbie Reynolds     the pop music world had hands down the bleakest year Start with David Bowie whose stage persona     androgynous glam rocker dance pop star electronic experimentalist     was as   as his music The year was only days old when the news came that he had died of cancer at 69 He had hinted that his time was short in the lyrics of his final album released just two days before his death but he had otherwise gone to great lengths to hide his illness from the public a wish for privacy that ensured that his death would appear to have come out of the blue Then came another shock about three months,0.546921,he,cancer
4,hasAttribute,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016     consider Muhammad Ali and Arnold Palmer in sports and the      Hollywood deaths of Carrie Fisher and Debbie Reynolds     the pop music world had hands down the bleakest year Start with David Bowie whose stage persona     androgynous glam rocker dance pop star electronic experimentalist     was as   as his music The year was only days old when the news came that he had died of cancer at 69 He had hinted that his time was short in the lyrics of his final album released just two days before his death but he had otherwise gone to great lengths to hide his illness from the public a wish for privacy that ensured that his death would appear to have come out of the blue Then came another shock about three months,0.678633,He,cancer
4,employedBy,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.708902,Keith Emerson,Jefferson Airplane
4,employedBy,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.707737,Palmer Glenn Frey,Eagles
4,residesIn,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.723723,Maurice White,Earth Wind
4,affectedBy,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.292437,Earth Wind,Fire
4,affectedBy,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.287093,Leon Russell,Fire
4,employedBy,whose aura had dimmed in later years was 53 when he went to bed and never woke up on Christmas Pop music figures fell all year many of their voices still embedded in the nicked vinyl grooves of old records that a lot of people cant bear to throw out The roster included Paul Kantner of Jefferson Airplane Keith Emerson and Greg Lake of Emerson Lake and Palmer Glenn Frey of the Eagles and Maurice White of Earth Wind  Fire Leon Russell the piano pounder with a Delta blues wail and a mountain mans mass of hair died So did Merle Haggard rugged country poet of the common man and the   outlaw He was joined by the bluegrass legend Ralph Stanley and the guitar virtuoso who was practically glued to Elviss swiveling hips in the early days Scotty Moore And then there was George Martin whose   genius had such a creative,0.368023,poet,country
4,locatedAt,influence on the sounds of John Paul George and Ringo and by extension on the entire rock era that he was hailed as the fifth Beatle If the music stars could fill arenas so could idols of another stripe the mighty athletes who left the scene No figure among them was as towering as Ali Some called him the greatest sports figure of the 20th century the boxer who combined power grace and brains in a way the ring had never seen But he was more than a great athlete Matters of war race and religion coursed through his life in a publicly turbulent way Some people hated him when he refused to be drafted during the Vietnam War a decision that cost him his heavyweight title But more people admired him even loved him for his principled stands his high spirits his lightning mind his winking   and yes his rhyming,0.519727,who,scene
4,agentOf,influence on the sounds of John Paul George and Ringo and by extension on the entire rock era that he was hailed as the fifth Beatle If the music stars could fill arenas so could idols of another stripe the mighty athletes who left the scene No figure among them was as towering as Ali Some called him the greatest sports figure of the 20th century the boxer who combined power grace and brains in a way the ring had never seen But he was more than a great athlete Matters of war race and religion coursed through his life in a publicly turbulent way Some people hated him when he refused to be drafted during the Vietnam War a decision that cost him his heavyweight title But more people admired him even loved him for his principled stands his high spirits his lightning mind his winking   and yes his rhyming,0.979282,Ali Some,called
5,partOf,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.456404,North,South Korea
5,ownerOf,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.548447,United States,nuclear weapons
5,agentOf,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.605159,his,speech
5,agentOf,is waiting for the Constitutional Court to rule on whether she should be formally removed from office or reinstated If North Korea conducts a    test in coming months it will test Mr Trumps new administration despite years of increasingly harsh sanctions North Korea has been advancing toward Mr Kims professed goal of arming his isolated country with the ability to deliver a nuclear warhead to the United States Mr Kims speech on Sunday indicated that North Korea may   a   rocket several times this year to complete its ICBM program said Cheong   a senior research fellow at the Sejong Institute in South Korea The first of such tests could come even before Mr Trumps inauguration Mr Cheong said We need to take note of the fact that this is the first New Years speech where Kim   mentioned an intercontinental ballistic missile he said In his speech Mr Kim did not comment on,0.853974,his,speech
5,timeOf,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.668244,New Years Day,speech
5,locatedAt,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.513725,speech,Norths   KCTV
5,locatedAt,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.716175,which,Norths   KCTV
5,agentOf,SEOUL South Korea     North Koreas leader Kim   said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile     a bold statement less than a month before the inauguration of   Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never   an intercontinental ballistic missile or ICBM In his annual New Years Day speech which was broadcast on the Norths   KCTV on Sunday Mr Kim spoke proudly of the strides he said his country had made in its nuclear weapons and ballistic missile programs He said North Korea would continue to bolster its weapons programs as long as the United States remained hostile and continued its joint military exercises with South Korea,0.988931,he,said
